iter	Passed	Remaining
401	15936	23706
402	15981	23674
403	16017	23630
404	16054	23585
405	16090	23541
406	16133	23506
407	16182	23480
408	16221	23439
409	16256	23393
410	16304	23365
411	16341	23322
412	16376	23276
413	16410	23229
414	16443	23180
415	16478	23133
416	16516	23091
417	16551	23046
418	16589	23004
419	16635	22972
420	16671	22928
421	16708	22885
422	16744	22841
423	16781	22798
424	16822	22760
425	16858	22715
426	16893	22669
427	16932	22629
428	16976	22596
429	17013	22552
430	17050	22509
431	17083	22462
432	17120	22418
433	17155	22373
434	17191	22329
435	17228	22285
436	17276	22257
437	17313	22215
438	17362	22187
439	17403	22149
440	17446	22115
441	17485	22074
442	17520	22029
443	17563	21994
444	17603	21955
445	17650	21924
446	17691	21887
447	17740	21858
448	17781	21821
449	17827	21789
450	17866	21748
451	17916	21721
452	17964	21691
453	18009	21658
454	18047	21617
455	18102	21595
456	18140	21554
457	18175	21509
458	18212	21465
459	18247	21421
460	18283	21377
461	18320	21334
462	18359	21293
463	18397	21252
464	18434	21210
465	18471	21167
466	18509	21125
467	18543	21079
468	18583	21039
469	18642	21022
470	18680	20981
471	18716	20936
472	18752	20893
473	18789	20850
474	18828	20810
475	18862	20764
476	18898	20720
477	18931	20674
478	18967	20631
479	19001	20585
480	19037	20541
481	19073	20498
482	19112	20458
483	19153	20420
484	19186	20373
485	19221	20328
486	19256	20284
487	19291	20239
488	19323	20192
489	19356	20147
490	19388	20099
491	19421	20052
492	19455	20008
493	19494	19968
494	19537	19932
495	19573	19888
496	19607	19843
497	19640	19798
498	19675	19753
499	19709	19709
500	19746	19667
501	19788	19631
502	19829	19593
503	19865	19549
504	19898	19504
505	19935	19462
506	19970	19419
507	20003	19373
508	20040	19331
509	20081	19294
510	20124	19258
511	20163	19218
512	20199	19176
513	20235	19133
514	20273	19092
515	20319	19058
516	20369	19029
517	20409	18991
518	20447	18950
519	20483	18907
520	20519	18865
521	20556	18824
522	20594	18783
523	20626	18737
524	20661	18693
525	20697	18651
526	20734	18610
527	20773	18570
528	20815	18533
529	20851	18490
530	20891	18452
531	20933	18415
532	20975	18377
533	21013	18337
534	21049	18295
535	21088	18255
536	21123	18212
537	21156	18168
538	21199	18131
539	21241	18094
540	21283	18057
541	21326	18021
542	21368	17984
543	21418	17954
544	21464	17919
545	21503	17880
546	21547	17844
547	21594	17811
548	21637	17774
549	21681	17739
550	21719	17698
551	21753	17655
552	21786	17610
553	21818	17565
554	21853	17522
555	21886	17477
556	21923	17436
557	21957	17393
558	21990	17348
559	22023	17304
560	22057	17261
561	22092	17217
562	22132	17179
563	22165	17135
564	22202	17093
565	22239	17053
566	22279	17013
567	22314	16971
568	22358	16935
569	22403	16900
570	22452	16868
571	22500	16836
572	22537	16795
573	22575	16754
574	22623	16721
575	22659	16679
576	22696	16639
577	22734	16598
578	22769	16556
579	22809	16517
580	22850	16479
581	22896	16444
582	22942	16410
583	22978	16368
584	23013	16325
585	23047	16283
586	23086	16242
587	23132	16208
588	23187	16180
589	23226	16140
590	23265	16100
591	23303	16060
592	23340	16019
593	23378	15979
594	23415	15938
595	23452	15897
596	23489	15856
597	23526	15815
598	23566	15776
599	23602	15735
600	23635	15691
601	23680	15655
602	23725	15620
603	23768	15583
604	23810	15545
605	23856	15510
606	23900	15474
607	23944	15438
608	23993	15404
609	24042	15371
610	24087	15335
611	24134	15300
612	24176	15263
613	24212	15221
614	24247	15179
615	24281	15136
616	24319	15096
617	24354	15054
618	24390	15012
619	24437	14977
620	24479	14940
621	24521	14902
622	24560	14862
623	24595	14820
624	24629	14777
625	24665	14736
626	24701	14695
627	24737	14653
628	24771	14610
629	24809	14570
630	24844	14528
631	24880	14487
632	24914	14444
633	24950	14403
634	24985	14361
635	25024	14322
636	25061	14281
637	25102	14243
638	25135	14200
639	25170	14158
640	25213	14121
641	25258	14084
642	25302	14048
643	25345	14010
644	25388	13973
645	25443	13942
646	25504	13914
647	25563	13886
648	25610	13850
649	25654	13814
650	25698	13777
651	25749	13743
652	25793	13706
653	25833	13667
654	25869	13625
655	25904	13584
656	25942	13543
657	25978	13502
658	26015	13461
659	26052	13421
660	26090	13380
661	26129	13341
662	26170	13302
663	26212	13263
664	26251	13224
665	26288	13183
666	26333	13147
667	26391	13116
668	26448	13085
669	26493	13048
670	26538	13012
671	26579	12973
672	26623	12935
673	26668	12898
674	26707	12859
675	26750	12821
676	26788	12781
677	26828	12741
678	26869	12702
679	26905	12661
680	26986	12641
681	27026	12601
682	27063	12561
683	27098	12518
684	27131	12476
685	27166	12434
686	27201	12392
687	27234	12350
688	27271	12309
689	27304	12267
690	27337	12224
691	27371	12182
692	27405	12140
693	27440	12098
694	27491	12064
695	27552	12034
696	27608	12001
697	27659	11967
698	27707	11931
699	27761	11897
700	27810	11861
701	27861	11827
702	27913	11792
703	27962	11756
704	28008	11719
705	28055	11683
706	28097	11644
707	28139	11605
708	28183	11567
709	28224	11528
710	28273	11492
711	28326	11458
712	28381	11424
713	28430	11388
714	28474	11349
715	28520	11312
716	28564	11274
717	28605	11235
718	28652	11197
719	28700	11161
720	28746	11123
721	28787	11084
722	28831	11046
723	28872	11006
724	28915	10967
725	28957	10928
726	29000	10889
727	29043	10851
728	29084	10811
729	29127	10773
730	29177	10737
731	29223	10699
732	29268	10661
733	29320	10625
734	29362	10586
735	29408	10548
736	29460	10513
737	29493	10470
738	29531	10429
739	29564	10387
740	29599	10345
741	29634	10304
742	29670	10262
743	29706	10221
744	29748	10182
745	29793	10144
746	29838	10105
747	29882	10067
748	29926	10028
749	29973	9991
750	30019	9953
751	30052	9910
752	30087	9869
753	30120	9827
754	30159	9786
755	30196	9746
756	30232	9704
757	30270	9664
758	30307	9623
759	30342	9581
760	30375	9539
761	30408	9497
762	30440	9455
763	30473	9413
764	30507	9371
765	30543	9330
766	30576	9288
767	30610	9246
768	30642	9204
769	30680	9164
770	30720	9124
771	30765	9086
772	30802	9045
