iter	Logloss
0	0.5791114027
1	0.4973614584
2	0.4325980933
3	0.3790668235
4	0.337653319
5	0.3076244039
6	0.2866434713
7	0.2696325808
8	0.2528332098
9	0.2387171728
10	0.2288478511
11	0.2212182381
12	0.2154472156
13	0.2095858608
14	0.2055716536
15	0.2012164431
16	0.1982997968
17	0.1958233024
18	0.1931209133
19	0.191536862
20	0.1899155673
21	0.1884294908
22	0.1873343264
23	0.1861298925
24	0.1851992987
25	0.1844121456
26	0.1836502696
27	0.1830144372
28	0.182369171
29	0.1820166496
30	0.1815833347
31	0.1810892142
32	0.1807151897
33	0.1804980553
34	0.1802121624
35	0.1799988611
36	0.179793901
37	0.1796216353
38	0.1794542521
39	0.1792525898
40	0.1790407041
41	0.1789040252
42	0.1787356443
43	0.1785965708
44	0.1784201861
45	0.1782731523
46	0.1781292551
47	0.1780080899
48	0.1778699551
49	0.177783551
50	0.1776345343
51	0.1775272505
52	0.177430443
53	0.1773150959
54	0.1772389988
55	0.1771166771
56	0.1770107309
57	0.1769311789
58	0.1768695567
59	0.1768032397
60	0.176709389
61	0.176685669
62	0.1766224968
63	0.1765739515
64	0.1764726323
65	0.1764076065
66	0.1763298386
67	0.1762682468
68	0.1762065205
69	0.1761528531
70	0.176075846
71	0.1759815168
72	0.1759351151
73	0.175859519
74	0.1758013957
75	0.1757627798
76	0.1757038018
77	0.1756394268
78	0.1755836823
79	0.1755448486
80	0.1755024575
81	0.1754658718
82	0.175435813
83	0.1753791802
84	0.1753570914
85	0.1753308353
86	0.1752722764
87	0.17520162
88	0.175162268
89	0.1751227232
90	0.1750591931
91	0.1750009517
92	0.174939687
93	0.174911541
94	0.1748317049
95	0.1747769648
96	0.1747321755
97	0.1747038704
98	0.1746580997
99	0.1746120822
100	0.1745635729
101	0.1745333232
102	0.1745130083
103	0.1744656062
104	0.1744312788
105	0.1743909011
106	0.1743559901
107	0.1743062641
108	0.1742755529
109	0.1742417523
110	0.1741912467
111	0.1741429516
112	0.174121123
113	0.1740699813
114	0.1740249193
115	0.1739899084
116	0.1739469117
117	0.1739076678
118	0.1738881365
119	0.1738520733
120	0.1738253006
121	0.1737754873
122	0.1737370417
123	0.1737046254
124	0.1736496408
125	0.1736090365
126	0.1735793882
127	0.1735490059
128	0.1735083139
129	0.1734875451
130	0.1734324241
131	0.1733965164
132	0.1733547867
133	0.1733023308
134	0.1732778591
135	0.1732566692
136	0.1732364428
137	0.1731747328
138	0.1731180639
139	0.1730734168
140	0.1730449824
141	0.1729934053
142	0.1729645476
143	0.1729477974
144	0.1729281705
145	0.1729103029
146	0.1728777206
147	0.1728384336
148	0.1728113962
149	0.1727814651
150	0.1727394501
151	0.1727134876
152	0.172667744
153	0.1726345292
154	0.172607234
155	0.1725706915
156	0.1725374371
157	0.1724933921
158	0.1724375732
159	0.1724080452
160	0.1723573749
161	0.1723168982
162	0.1722994327
163	0.1722638807
164	0.1722031983
165	0.1721720092
166	0.1721287359
167	0.1721053681
168	0.1720586764
169	0.1720086025
170	0.1719673895
171	0.1719119948
172	0.1718721675
173	0.1718207145
174	0.1717812818
175	0.1717538409
176	0.1716954645
177	0.1716660678
178	0.1716226916
179	0.1715763845
180	0.1715262989
181	0.1714996273
182	0.1714465238
183	0.1714249492
184	0.1713744205
185	0.1713206868
186	0.171266753
187	0.1712383634
188	0.1711813607
189	0.1711415361
190	0.1710936824
191	0.171043739
192	0.1710036809
193	0.1709536541
194	0.1709266149
195	0.1708723954
196	0.1708227478
197	0.170801022
198	0.1707676829
199	0.1707311677
200	0.1706949081
201	0.1706491567
202	0.1706320905
203	0.1705810555
204	0.1705576479
205	0.1705166684
206	0.1704755308
207	0.1704293776
208	0.1703823749
209	0.1703398877
210	0.1703062597
211	0.1702992481
212	0.1702517471
213	0.1702172657
214	0.1701731859
215	0.1701302734
216	0.1700705536
217	0.1700244377
218	0.1699855487
219	0.1699557575
220	0.1699244902
221	0.1698839898
222	0.1698499515
223	0.1698072134
224	0.1697749061
225	0.1697524646
226	0.1697100021
227	0.1696665033
228	0.1696447158
229	0.1696038304
230	0.1695674109
231	0.1695267635
232	0.169507962
233	0.1694687922
234	0.1694472844
235	0.1694086133
236	0.1693711494
237	0.1693284818
238	0.1692998407
239	0.1692653927
240	0.1692235329
241	0.1692027986
242	0.1691757462
243	0.169137808
244	0.169099157
245	0.169049804
246	0.1690223401
247	0.1689859061
248	0.1689579051
249	0.1689316664
250	0.1689013908
251	0.1688577124
252	0.1688253466
253	0.1687913641
254	0.1687674074
255	0.1687431289
256	0.1687111182
257	0.1686779396
258	0.1686568833
259	0.1686357968
260	0.1686038325
261	0.1685754267
262	0.1685465815
263	0.1685150869
264	0.1684690054
265	0.1684309407
266	0.168403352
267	0.1683735067
268	0.1683404002
269	0.1683168425
270	0.1682818055
271	0.1682508249
272	0.1682168278
273	0.1681866786
274	0.1681575429
275	0.1681301174
276	0.1681041883
277	0.1680769872
278	0.168048685
279	0.1680090214
280	0.1679616147
281	0.1679380019
282	0.1679063145
283	0.1678765578
284	0.1678518513
285	0.1678207185
286	0.1677947201
287	0.1677711468
288	0.1677447564
289	0.1677008095
290	0.1676800985
291	0.1676450659
292	0.1676154762
293	0.1675708304
294	0.1675283471
295	0.1674864861
296	0.1674422932
297	0.1673902589
298	0.1673715365
299	0.1673373565
300	0.1673065283
301	0.1672881694
302	0.1672483893
303	0.167232045
304	0.1672052668
305	0.1671807018
306	0.1671551655
307	0.1671251308
308	0.1670916785
309	0.167072536
310	0.1670500712
311	0.1669962818
312	0.1669736683
313	0.1669560641
314	0.1669297828
315	0.1669145367
316	0.1668647999
317	0.1668349072
318	0.1668169973
319	0.1667740372
320	0.1667511981
321	0.166704431
322	0.1666659905
323	0.1666342751
324	0.1666081922
325	0.1665751468
326	0.1665479639
327	0.1665321326
328	0.1665037971
329	0.1664742612
330	0.166421715
331	0.1663800084
332	0.1663551868
333	0.1663233492
334	0.166298342
335	0.1662722099
336	0.1662496587
337	0.166216191
338	0.1661657978
339	0.1661442688
340	0.1661201062
341	0.1660839073
342	0.1660561903
343	0.1660161288
344	0.1660016853
345	0.1659867963
346	0.1659657195
347	0.1659449262
348	0.1659066823
349	0.1658700134
350	0.1658441042
351	0.1658093595
352	0.1657852875
353	0.1657559251
354	0.1657379532
355	0.1657241497
356	0.1656927945
357	0.1656676555
358	0.1656452356
359	0.1656223358
360	0.1655940648
361	0.1655623088
362	0.165538987
363	0.1655117784
364	0.1654800577
365	0.165443797
366	0.1654139478
367	0.165387579
368	0.1653610334
369	0.1653205762
370	0.1652883341
371	0.1652714177
372	0.1652485303
373	0.1652010362
374	0.165185419
375	0.1651563537
376	0.1651357573
377	0.165110322
378	0.1650877085
379	0.1650699204
380	0.165050329
381	0.1650252396
382	0.1649882884
